OriginalShorttext,Processed Text,Cluster
REPLACE LIP,lip,6
rebuild lip #3,rebuild lip 3,6
Repair RH120 lip at P&H,rh120 lip p h,6
Replace centre and LH lip shrouds,centre lh lip shroud,6
Fit a lip shroud,fit lip shroud,6
Refit left lip shroud,refit left lip shroud,6
replace lip shroud pin,lip shroud pin,6
lh outer lip shroud lost,lh outer lip shroud lost,6
Rebuild spare lip GET,rebuild spare lip get,6
RH120C-BUCKET FRONT LIP CHANGEOUT,rh120c-bucket front lip changeout,6
Change bucket lip.,change bucket lip,6
replace lip shroud,lip shroud,6
WELD CRACK IN LH LIP EAR(FRONT),weld crack lh lip ear front,6
change out damaged lip,change damaged lip,6
LH LIP EAR CRACKED,lh lip ear cracked,6
Change out bucket clam (lip),change bucket clam lip,6
refit lip shroud,refit lip shroud,6
repair crack in lh front lip ear,crack lh front lip ear,6
replace rh lip shroud!,rh lip shroud,6
replace lip shroud lock,lip shroud lock,6
REPLACE LEFT HAND LIP SHROUD,left hand lip shroud,6
